t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
4.128,-37.2779665512,0.694271179,10.3450048222,0.2325879291,4.5656950172,-0.2337203476,0.0855057004,0.0735,-0.0496068992
4.136,-36.5480038716,1.8540287212,10.0782921601,0.3584982243,4.530941641,-0.3191614486,0.0855057004,0.0735,-0.0496068992
4.144,-44.8077913161,1.0300916037,11.672733974,0.3401030637,5.5534660044,-0.3343871158,0.0855057004,0.0735,-0.0496068992
4.152,-46.5217006764,-0.2654097726,12.9376130797,0.1814858741,5.7610256695,-0.4770775917,0.0855057004,0.0735,-0.0496068992
4.16,-45.9881270377,-1.9776749332,13.5247573493,0.0240158708,5.6842939808,-0.406678472,0.0855057004,0.0735,-0.0496068992
4.168,-51.9387442986,-1.5793223187,14.8194562109,0.05538174,6.4113114012,-0.2723179836,0.0855057004,0.0735,-0.0496068992
4.176,-54.4407498743,-1.3823445024,16.5567246494,0.0950610973,6.696368323,-0.3356824216,0.0855057004,0.0735,-0.0496068992
4.184,-56.1611289955,-3.0031804152,17.4597306294,-0.0645775636,6.8543041241,-0.4213238094,0.0855057004,0.0735,-0.0496068992
4.192,-59.5048111512,-3.8852660597,18.3377068655,-0.216367296,7.2680730135,-0.4560087123,0.0855057004,0.0735,-0.0496068992
4.2,-57.9782686568,-3.8668494751,18.7956833218,-0.2045965789,7.0727755871,-0.4553376856,0.0855057004,0.0735,-0.0496068992
4.208,-57.2231620689,-3.1109502184,18.672700331,-0.1034388533,6.9657156359,-0.5224528937,0.0855057004,0.0735,-0.0496068992
4.216,-56.3211299485,-2.6631090851,18.6302544258,-0.1017730651,6.8563920257,-0.7534282117,0.0855057004,0.0735,-0.0496068992
4.224,-60.3721883516,-2.7176351239,17.018826525,-0.1142753261,7.4244540584,-0.6103763142,0.0855057004,0.0735,-0.0496068992
4.232,-58.8432209782,-3.1093029118,16.2963190969,-0.2381106983,7.2652903075,-0.6006575241,0.0855057004,0.0735,-0.0496068992
4.24,-52.043956837,-2.4340897492,15.3224417325,-0.1089891957,6.3749535601,-0.4962634233,0.0855057004,0.0735,-0.0496068992
4.248,-52.3846521003,-2.3894432764,14.9799560478,-0.0495765282,6.4293850543,-0.3853773579,0.0855057004,0.0735,-0.0496068992
4.256,-54.7062734968,-4.7797756989,15.9358606256,-0.3363547899,6.6553879306,-0.217536246,0.0855057004,0.0735,-0.0496068992
4.264,-57.7587133261,-3.0098310414,16.8263700568,-0.014452171,7.0579698182,0.0462061192,0.0855057004,0.0735,-0.0496068992
4.272,-60.923887208,-3.2326879257,18.4211713979,0.0747903603,7.4193022581,0.2070462909,0.0855057004,0.0735,-0.0496068992
4.28,-63.3350515055,-3.4105105921,18.7193553866,0.1432911227,7.7151018526,0.3894242059,0.0855057004,0.0735,-0.0496068992
4.288,-63.1119912763,-5.0398557103,19.3268990432,0.0022726416,7.67044309,0.4343660516,0.0855057004,0.0735,-0.0496068992
4.296,-61.5166825644,-5.1063462745,20.4743404129,0.0267430489,7.4599959843,0.4696822863,0.0855057004,0.0735,-0.0496068992
4.304,-61.6727075253,-6.9313588105,19.109804632,-0.2322451243,7.5098287366,0.6209534222,0.0855057004,0.0735,-0.0496068991
4.312,-60.3939813906,-6.1444210004,19.5908517493,-0.0608740017,7.3344595759,0.7302904084,0.0855057004,0.0735,-0.0496068991
4.32,-60.683131427,-4.9182318165,19.9043739548,0.1396133272,7.3290284779,0.5724358933,0.0855057004,0.0735,-0.0496068991
4.328,-57.4487079892,-4.7294076903,19.7496124022,0.1232203062,6.919191148,0.6862634319,0.0855057004,0.0735,-0.0496068991
4.336,-62.0277427461,-4.2122864902,20.0721517247,0.1547224762,7.4340763246,0.6768530395,0.0855057004,0.0735,-0.0496068991
4.344,-65.0226273565,-6.372883684,19.1639808106,-0.1861616188,7.8265187769,0.6885848346,0.0855057004,0.0735,-0.0496068991
4.352,-65.4718327873,-6.8850362176,19.6133414743,-0.2501573734,7.8984667588,0.8613706588,0.0855057004,0.0735,-0.0496068991
4.36,-67.7750284486,-6.5190951466,18.679318161,-0.2324035026,8.2370602928,0.981009438,0.0855057004,0.0735,-0.0496068991
4.368,-69.5591455219,-7.4004343675,18.7078342543,-0.2763186282,8.4679992908,1.0099815324,0.0855057004,0.0735,-0.0496068991
4.376,-67.9219252176,-9.3536312011,19.5722813535,-0.4819454762,8.2620299308,1.0912234516,0.0855057004,0.0735,-0.0496068991
4.384,-65.9832879707,-11.021362337,19.9328743521,-0.6559428128,7.9988676376,1.1549316396,0.0855057004,0.0735,-0.0496068991
4.392,-63.4483303276,-11.2724143546,19.8409062146,-0.6437174555,7.6440460715,1.1010546606,0.0855057004,0.0735,-0.0496068991
4.4,-64.1867027346,-9.8776309259,20.076962473,-0.4284328713,7.705575115,1.2227683298,0.0855057004,0.0735,-0.0496068991
4.408,-64.8873811227,-10.9418036827,21.8816135462,-0.510171889,7.7475669256,1.2876215498,0.0855057004,0.0735,-0.0496068991
4.416,-64.1770908931,-11.6507150411,24.0591731926,-0.5446095881,7.5723598276,1.24497969,0.0855057003,0.0735,-0.0496068991
4.424,-61.5741942147,-7.896758009,23.7830094414,-0.02868442,7.211798617,1.1731150255,0.0855057003,0.0735,-0.0496068991
4.432,-55.7589938685,-7.8993984232,23.7678670295,-0.0436453601,6.4744867316,1.3543887214,0.0855057003,0.0735,-0.0496068991
