"id","type","i:0","i:1","i:2","v:0","v:1","v:2","f:0","f:1","f:2","radius","omega:0","omega:1","omega:2","Points:0","Points:1","Points:2"
140,1,0,0,0,3.3304e-05,1.0046e-05,3.8167e-06,0.013541,-0.0048273,-0.0013154,0.0075,-0.001406,0.0044193,0.0022724,0.10308,0.03468,-0.2375
1022,1,0,0,0,-4.7069e-05,1.8613e-05,-7.7611e-06,-0.0053168,-0.015119,0.00072491,0.0075,-0.0020715,-0.0060611,-0.012364,0.12365,0.027769,-0.2375
239,1,0,0,0,-9.1693e-05,-7.6957e-05,8.0572e-07,0.002681,-0.019262,0.00032611,0.0075,0.01036,-0.01279,-0.0089066,0.13744,0.037741,-0.2375
1668,1,0,0,0,-3.6017e-06,-8.1216e-06,6.0575e-07,-0.0072298,-0.031613,0.012176,0.0075,0.0011585,-0.00037422,-0.0076479,-0.084948,0.054417,-0.23751
577,1,0,0,0,-2.9182e-05,5.0005e-05,7.6771e-13,-4.2776e-19,-8.8879e-19,0,0.0075,-0.0066675,-0.0038911,0.010359,-0.072474,0.045959,-0.2375
1277,1,0,0,0,5.9556e-06,-1.6358e-05,1.7722e-06,0.0070767,-0.014396,-0.009468,0.0075,0.0027286,0.0015379,0.0089702,-0.060214,0.056981,-0.2375
645,1,0,0,0,-1.0355e-05,-2.475e-05,-1.647e-06,-0.0084516,0.0066317,0.0054403,0.0075,0.0037951,-0.0015256,-0.0097936,-0.049363,0.046625,-0.2375
686,1,0,0,0,-2.6683e-06,-6.4389e-05,6.7234e-07,0.013155,0.0045217,0.0059841,0.0075,0.0086762,-0.0005903,-0.010473,-0.034894,0.050885,-0.2375
1059,1,0,0,0,2.3008e-05,-6.2148e-05,-5.3603e-05,0.0091896,-0.013761,-0.024941,0.0075,-9.4486e-05,0.0093742,0.014593,-0.021208,0.051871,-0.23145
16,1,0,0,0,8.6237e-06,1.4847e-05,-4.5361e-05,0.0081647,0.0015696,0.011308,0.0075,0.00167,-0.010249,-0.0039123,-0.0065136,0.054874,-0.23149
1239,1,0,0,0,6.3684e-05,-1.0038e-05,-2.6365e-07,-0.0058037,0.0055592,0.0053671,0.0075,0.0012187,0.0084199,-0.0094526,0.024224,0.043388,-0.2375
168,1,0,0,0,6.2686e-06,-2.7266e-05,5.6696e-06,0.0038279,0.0046214,0.00079255,0.0075,-0.0054448,-0.00097536,-0.0059002,0.050387,0.053049,-0.2375
