t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
7.48,-11.62603445,0.8045613985,-13.7862023236,0.0972550323,1.8555153721,-0.1195140749,0.1151369088,0.0735,-0.0449017878
7.488,-15.0121815732,4.0205939088,-17.3972872729,0.299511496,2.1181390525,-0.0984893948,0.1151368961,0.0735,-0.0449017766
7.496,-14.9614437709,3.8331459836,-14.2105106999,0.3430478505,2.1589196557,-0.0771434026,0.1151368834,0.0735,-0.0449017654
7.504,-14.8840771141,3.818100932,-12.8530791446,0.2894683202,2.1046522301,-0.0733144447,0.1151368706,0.0735,-0.0449017543
7.512,-16.2089033728,4.5247983458,-13.7890042174,0.3488085708,2.2273910442,-0.0481187989,0.1151368578,0.0735,-0.0449017432
7.52,-15.6557488325,4.4282634514,-12.9917524692,0.3746197638,2.1597816053,-0.0932756019,0.115136845,0.0735,-0.0449017321
7.528,-14.4232269874,3.5823598759,-13.2711213869,0.3012260803,2.0472811089,-0.0502501793,0.1151368322,0.0735,-0.0449017211
7.536,-12.9963286964,3.1590422471,-13.1349118956,0.2685149924,1.9005429537,-0.0755614516,0.1151368193,0.0735,-0.0449017101
7.544,-12.081685975,2.4575698114,-13.9001709273,0.2577516239,1.8753322263,-0.0884426669,0.1151368064,0.0735,-0.0449016991
7.552,-11.1400163808,0.9300450086,-14.8889542109,0.133842669,1.8810706978,-0.1072719224,0.1151367934,0.0735,-0.0449016882
7.56,-8.9186722327,0.3583475512,-15.6867831259,0.1618262509,1.7462885832,-0.1416703484,0.1151367804,0.0735,-0.0449016773
7.568,-9.7004053322,0.4993846584,-15.2860885342,0.1756975587,1.7971497768,-0.2223502366,0.1151367674,0.0735,-0.0449016665
7.576,-8.9118696475,0.1792527099,-14.9655492807,0.1245074854,1.6780626917,-0.1687295076,0.1151367544,0.0735,-0.0449016557
7.584,-9.3758210073,1.6662951533,-14.8999932557,0.2953906498,1.7435073462,-0.1641947795,0.1151367413,0.0735,-0.0449016449
7.592,-9.6588930431,1.9693323866,-14.5684904359,0.3289639144,1.7479101845,-0.1360679716,0.1151367282,0.0735,-0.0449016342
7.6,-10.5991763206,2.2910204759,-15.0970403368,0.3773375746,1.8494272539,-0.1378098198,0.1151367151,0.0735,-0.0449016235
7.608,-9.9278491234,2.1856861575,-14.5158515399,0.3783882657,1.7598943092,-0.1082332336,0.1151367019,0.0735,-0.0449016129
7.616,-12.1794669805,2.2722110997,-17.3405639716,0.5041551463,1.9615405809,-0.2340262897,0.1151366887,0.0735,-0.0449016022
7.624,-11.6854405031,2.1786845566,-16.2563565612,0.4241473039,2.0509519829,-0.1627637465,0.1151366755,0.0735,-0.0449015917
7.632,-10.9928124383,1.6947206193,-16.6530561855,0.2742496822,2.0759828889,-0.1474257085,0.1151366622,0.0735,-0.0449015811
7.64,-10.1332440659,1.8998910869,-14.2318691568,0.2960193969,1.784024763,-0.0990714726,0.1151366489,0.0735,-0.0449015706
7.648,-10.6380246447,2.4556733341,-15.0666701268,0.4138835862,1.8909487983,-0.1141597276,0.1151366356,0.0735,-0.0449015601
7.656,-10.7849058564,1.354835999,-15.6422025809,0.227544846,1.9704772266,-0.1552579298,0.1151366223,0.0735,-0.0449015497
7.664,-9.7899466284,1.9559505169,-15.0803511007,0.3170612316,1.8112998162,-0.13748773,0.1151366089,0.0735,-0.0449015393
7.672,-10.0775515466,2.0718277419,-14.5955066112,0.3295358168,1.791078249,-0.1344433806,0.1151365955,0.0735,-0.044901529
7.68,-9.3658153893,2.1622161778,-14.9342195124,0.3181094754,1.7444174392,-0.1209478722,0.1151365821,0.0735,-0.0449015187
7.688,-10.0327525436,2.5018844898,-14.7421318652,0.4009076609,1.8210843409,-0.1347667092,0.1151365686,0.0735,-0.0449015084
7.696,-9.1955699694,2.8231382175,-13.7129257939,0.4221124028,1.718563587,-0.1285982978,0.1151365551,0.0735,-0.0449014982
7.704,-11.2055117051,2.5890591527,-14.6738218563,0.3809923548,1.943739737,-0.0651138434,0.1151365416,0.0735,-0.044901488
7.712,-8.6219938637,2.8456491192,-14.7427004673,0.4572441803,1.6888749927,-0.1538040095,0.115136528,0.0735,-0.0449014778
7.72,-10.5562743991,2.7218898458,-14.3861138617,0.4007729643,1.8799460186,-0.1447900437,0.1151365144,0.0735,-0.0449014677
7.728,-10.0796231568,2.8350366611,-15.1086292806,0.4511348718,1.8971712178,-0.2136395439,0.1151365008,0.0735,-0.0449014576
