"Points:0","Points:1","Points:2"
-0.003921,0.049797,-0.090488
-0.0028645,0.052512,-0.089334
0.035836,0.099679,-0.051089
0.032873,0.099677,-0.053055
0.034357,0.096595,-0.052073
0.077159,0.02113,-0.080739
0.077157,0.025097,-0.080709
0.077286,0.02294,-0.078781
0.055229,0.1327,-0.11552
0.05719,0.1327,-0.1191
0.059318,0.1327,-0.11561
0.0020167,0.017029,-0.13437
0.0036343,0.01696,-0.1355
0.002885,0.01921,-0.135
0.015076,0.050379,-0.064843
0.018042,0.050379,-0.062878
0.016559,0.05346,-0.063861
0.077834,0.13085,-0.063783
0.077798,0.12838,-0.065367
0.077759,0.13109,-0.067064
0.042973,0.1327,-0.11524
0.041011,0.1327,-0.11165
0.038888,0.1327,-0.11514
0.077975,0.087892,-0.057529
0.077941,0.085182,-0.059092
0.077905,0.087891,-0.060655
0.070207,0.01832,-0.080861
0.072724,0.01683,-0.080932
0.071092,0.015138,-0.080881
0.077963,0.00021722,-0.053799
0.077957,0.00017741,-0.057908
0.077756,0.001164,-0.055747
0.0393,0.12482,-0.080163
0.041075,0.12772,-0.080203
0.042753,0.12476,-0.080241
0.046151,0.053796,-0.080318
0.044443,0.050837,-0.08028
0.042735,0.053796,-0.080241
0.040203,0.005,-0.15703
0.036865,0.005,-0.15507
0.037254,0.0049876,-0.15711
0.005961,0.10057,-0.13685
0.004881,0.10349,-0.1362
0.003357,0.10052,-0.13532
0.038406,1.628e-10,-0.13637
0.040529,1.1287e-10,-0.13288
0.05637,0.1177,-0.046041
0.059495,0.1177,-0.046112
0.057932,0.12041,-0.046077
0.046252,0.1377,-0.15068
0.050331,0.1377,-0.15081
0.048154,0.1377,-0.15423
0.020497,0.097161,-0.14542
0.02377,0.097161,-0.14735
0.022133,0.10045,-0.14639
0.064182,0.071687,-0.046219
0.067307,0.071687,-0.046289
0.065744,0.074393,-0.046254
0.04107,0.045228,-0.16927
0.039361,0.041788,-0.16826
0.037652,0.045228,-0.16725
0.029077,0.1377,-0.097222
0.033162,0.1377,-0.097315
0.031039,0.1377,-0.10081
0.03283,0.0073629,-0.053083
0.035827,0.007498,-0.0511
0.034334,0.010409,-0.052087
0.010694,0.051099,-0.13965
0.0073248,0.051095,-0.13766
0.0090804,0.047763,-0.1387
0.014377,1.2493e-10,-0.11459
0.016339,1.1738e-10,-0.11817
0.018462,1.2718e-10,-0.11468
0.051324,0.01771,-0.17534
0.049615,0.014272,-0.17433
0.047906,0.01771,-0.17332
-0.018846,0.1343,-0.098613
-0.01838,0.1355,-0.096188
-0.018654,0.13316,-0.097121
0.044936,0.005,-0.11882
0.04085,0.005,-0.11873
0.042973,0.005,-0.11524
0.010202,0.041652,-0.081102
0.013233,0.041654,-0.080394
0.01172,0.038934,-0.080706
0.004819,0.1327,-0.13752
0.0039737,0.13272,-0.1404
0.0068206,0.1327,-0.13736
0.070133,0.13101,-0.17548
0.070127,0.12888,-0.17648
0.070181,0.13113,-0.17756
0.030944,-2.1326e-06,-0.067965
0.032975,3.247e-07,-0.071644
0.035185,1.285e-06,-0.068061
-0.0006369,0.019936,-0.087147
0.0018417,0.019936,-0.085247
0.0005674,0.017221,-0.086153
0.0058398,0.133,-0.14794
0.0090307,0.13303,-0.14987
0.0075916,0.13464,-0.149
0.025059,0.00016063,-0.15581
0.022397,5.2602e-05,-0.15785
0.025989,0.00039302,-0.15996
-0.01064,0.12309,-0.10603
-0.010118,0.12308,-0.10296
-0.010456,0.12038,-0.10449
-0.010861,0.079659,-0.11227
-0.010912,0.079659,-0.10915
-0.010902,0.076945,-0.11071
0.075043,0.13162,-0.080982
0.072644,0.1327,-0.080919
0.075043,0.1327,-0.080974
0.035841,0.112,-0.051087
0.038759,0.11203,-0.049168
0.037319,0.11509,-0.050122
0.047719,0.1377,-0.075727
0.049918,0.1377,-0.072083
0.052052,0.1377,-0.075607
0.05671,0.1327,-0.14032
0.054746,0.1327,-0.13674
0.052624,0.1327,-0.14023
0.00049752,0.076945,-0.086064
-0.0017887,0.076945,-0.088205
-0.00063595,0.079659,-0.087149
0.0076603,0.041135,-0.069755
0.010626,0.041135,-0.06779
0.0091434,0.044216,-0.068773
